,token,frequency,z-score,freq_ratio
64,biden,31204,16.09569025039526,0.00981437174527799
23,president,23706,7.956800543777009,0.007456079239634663
2,election,135824,7.27333032251553,0.04271975477280598
421,lose,6115,6.9193550212808255,0.0019233073715669434
363,must,11563,6.882963643634932,0.003636827986496904
586,concede,4525,6.628674112293338,0.0014232160026721864
98,go,26762,5.308161912632693,0.008417261141107857
203,fact,4172,5.246408136152733,0.0013121894283200798
383,criminal,5489,4.925651638374426,0.0017264160527442278
413,lie,5465,4.775204332694112,0.0017188675037797785
60,involve,3704,4.743587442495609,0.0011649927235133212
29,joe,9760,4.6861429351005155,0.0030697432455426606
75,know,21826,4.663249415429573,0.0068647762374194786
409,donald,3769,4.639403123593267,0.0011854367102920376
111,everyone,4347,4.252441810928747,0.001367230931185855
790,federal,5163,4.020369812475973,0.0016238815959771266
365,rig,23209,3.9557326347275508,0.007299761371495861
479,deep,3372,3.815682098146111,0.0010605711295051078
270,overwhelming,1278,3.7838574717352755,0.00040196023235691803
144,believe,9877,3.6824752194907666,0.0031065424217443503
518,someone,4073,3.6824752194907666,0.001281051663841727
804,prosecution,834,3.651251038052575,0.0002623120765146085
45,evidence,25960,3.33995019390536,0.008165013796545847
301,america,7595,3.267896840768641,0.002388801224374642
381,general,2882,2.7070627968451912,0.0009064549214809372
247,state,29439,2.6610737336387835,0.009259238873517458
293,anyone,4963,2.5322239148339207,0.0015609770212733835
321,every,9989,2.3419682819225867,0.003141768983578446
176,attorney,4309,2.3360286060693123,0.0013552790619921439
253,roger,259,2.328106397738143,8.146142424134724e-05
238,please,7268,2.3230439478280753,0.002285952244734022
862,bar,389,2.296277378317777,0.00012234939779878022
11,fake,5952,2.1637656536390755,0.001872040143183393
870,censorship,820,2.146363149719608,0.00025790875628534647
175,we,17193,2.1212276902632383,0.005407591764407271
410,justice,4824,2.0819015296870615,0.0015172583418542821
593,george,619,1.9346130896367957,0.00019468965870808472
604,fraudulent,3600,1.9063471825043796,0.0011322823446673748
103,think,13831,1.8685878790040382,0.0043501658636373505
17,bill,2205,1.791821584004433,0.000693522936108767
209,commit,5750,1.7552492525686016,0.0018085065227326125
223,coup,2100,1.7348344387579147,0.000660498034389302
567,read,4766,1.7331268070047279,0.0014990160151901967
163,proof,5164,1.6862696894826208,0.0016241961188506453
254,stone,191,1.656941796779913,6.0073868842074606e-05
403,truth,5677,1.6222889257194373,0.0017855463529657463
812,certify,2824,1.6168746438486408,0.0008882125948168518
42,watch,7635,1.5983414442550536,0.0024013821393153905
557,cheat,3601,1.5943375428802,0.0011325968675408935
106,like,14139,1.5510601026014352,0.004447038908681114
183,also,6648,1.4642346588768982,0.0020909480631524186
33,talk,3361,1.4312801663252759,0.0010571113778964018
303,country,7082,1.3945813106040974,0.002227450990259541
61,foreign,2207,1.3794596178489187,0.0006941519818558045
319,arrest,2940,1.3794596178489187,0.0009246972481450227
370,really,4555,1.3631917334266432,0.0014326516888777479
66,true,3116,1.3580563364643448,0.0009800532738843165
590,world,5123,1.3248633530574963,0.001611300681036378
397,durham,614,1.2964288080682542,0.00019311704434049113
225,press,1869,1.2964288080682542,0.0005878432506064787
414,pure,1314,1.2964288080682542,0.0004132830558035918
539,run,5745,1.2926938170112374,0.001806933908365019
286,give,8179,1.2775211543355796,0.002572482582509572
30,accept,3075,1.270434135313974,0.0009671578360700493
372,red,1790,1.2370668646457583,0.0005629959435985003
178,simple,1759,1.2370668646457583,0.0005532457345194201
538,citizen,2307,1.208931196170333,0.000725604269207676
580,seat,1228,1.2060396229169292,0.00038623408868098226
187,bring,3141,1.177173487116917,0.0009879163457222845
167,make,13693,1.1641503270743478,0.004306761707091767
716,landslide,1510,1.1447054086868034,0.00047492953901326
53,people,26195,1.1424432422024802,0.008238926671822746
682,wonder,2021,1.1410074402718366,0.0006356507273813234
287,reason,2235,1.1410074402718366,0.0007029586223143285
281,thing,4848,1.1291171368805046,0.0015248068908187314
587,everything,3529,1.10687161551167,0.0011099512206475459
401,fix,2815,1.0975726830523267,0.0008853818889551833
124,million,8866,1.0909273299962026,0.002788559796616929
465,propaganda,1647,1.0775073166556315,0.0005180191726853239
457,word,1680,1.0715575993419257,0.0005283984275114415
